,text,transformers_score,textblob_score,family
12,"@uwuChef Bombardier beetles are ground beetles (Carabidae) in the tribes Brachinini, Paussini, Ozaenini, or Metriini—more than 500 species altogether—which are most notable for the defense mechanism that gives them their name",-0.8952958583831787,0.5,Carabidae
13,#LiteratureNotice Magura et al. Various edge response of ground beetles in edges under natural versus anthropogenic influence: A meta-analysis using life-history traits https://t.co/wkqtEXTzPo #Beetle #Beetles #Coleoptera #Carabidae #GroundBeetles #EdgeEffect https://t.co/EZVPmGhAvh,0.5417370200157166,0.05,Carabidae
14,"Straneoa c.f. collatata (Karsch, 1881)
K. Matsumoto det. 2020
São Tomé

#AfricanBeetles #Carabidae

Endemic genus and species from São Tomé https://t.co/F05pUjuiJu",-0.9788750410079956,0.0,Carabidae
15,#LiteratureNotice Nurme et al. Link between elevated locomotor activity and the spike bursting of antennal thermosensitive neurons in the carabid beetle Pterostichus oblongopunctatus https://t.co/3IIf2X8Ap5 #Beetle #Beetles #Coleoptera #Carabidae #GroundBeetles #Neurophysiology https://t.co/Lf4GBicEdk,-0.9519332051277161,0.0,Carabidae
16,#LiteratureNotice Pravia et al. Restoration trajectory of carabid functional traits in a formerly afforested blanket bog https://t.co/ytk5lOryTD… #Beetle #Beetles #Coleoptera #Carabidae #GroundBeetles #Ecology https://t.co/e3hj8FUhCV,-0.9952675104141235,0.0,Carabidae
17,"@BarrieHamill @Coleopterist @BrianE_Cambs @CalumUrquhart1 @BritishBugs @martinfowlie Glitches in the formation of the striae are fairly frequent in the Carabidae — Amara, Harpalus, Ophonus, Calathus, Pterostichus. Often just on the one elytron suggesting an environmental interference rather than genetic.",-0.9926092624664307,0.1,Carabidae
18,"(8/25) In his study of insect chemical defenses, Eisner’s primary organism of focus was the bombardier beetle (Family: Carabidae). Eisner discovered that bombardier beetles shoot noxious liquids from a nozzle in their abdomen when threatened by a predator. #IB427TE https://t.co/WyygoShh3M",-0.7914804816246033,0.4,Carabidae
19,#BeetleIllustrationOfTheDay : Black Clock Ground Beetle. Buzz &amp; Scuttle is an entomology illustration project by Marian Hill. One aim is to collage as many UK bugs &amp; Beetles as possible. Species suggestions welcome! #carabidae #groundbeetle #naturalpestcontrol #organicgardening https://t.co/KiFzvbP55A,0.8920575976371765,0.33333333333333337,Carabidae
20,#LiteratureNotice Sproul et al. Repetitive DNA profiles Reveal Evidence of Rapid Genome Evolution and Reflect Species Boundaries in Ground Beetles https://t.co/wF722b5J0R #Beetle #Beetles #Coleoptera #Carabidae #GroundBeetles #Genomics https://t.co/y1mhxkzuz3,0.7439500093460083,-0.25,Carabidae
21,"Photo Credit: Robyn Waayers

Galerita leconteiSource:  https://t.co/0UPwJfCXbZ

Pleocoma australis Source:  https://t.co/5JEML2Rfp0

Polyphylla https://t.co/OjbsLiyKx0 https://t.co/sJAV08dRKw",-0.9809057116508484,0.0,Carabidae
22,"#LiteratureNotice Häckel. A contribution to knowledge of the subfamily Panagaeinae Hope, 1838 (#Coleoptera: #Carabidae) from Africa. Part 4. Revision of the Craspedophorus erichsoni and nobilis groups https://t.co/0lV60nZz9S #Beetle #Beetles #GroundBeetles #NewSpecies https://t.co/KI8NRomuzj",0.9653428196907043,0.0,Carabidae
23,"@BlattaMann @socialseas @OwainAlty @g12glb @craken_maccraic 
Oops totally not a ground beetle then. A mealworm beetle Edd! Yes can see the body of Tenebrio is more oblong than in Carabidae.",-0.9976406097412109,0.25,Carabidae
24,"@LiamTuckerFur @JellyTBeagle That's a ground beetle, Carabidae! They're a common predatory species, you'll often find them under rocks preying on worms and other invertebrates. They like cool, dark places, and sometimes will find their way into the house through cracks by accident! They're quite the",0.9701570272445679,-0.065625,Carabidae
25,Carabidae? https://t.co/Gl2Yd1uVPb,-0.9952009320259094,0.0,Carabidae
26,"#LiteratureNotice Boyd et al. Geographically structured genetic diversity in the cave beetle Darlingtonea kentuckensis Valentine, 1952 (#Coleoptera, #Carabidae, Trechini, Trechina) https://t.co/XshuPLXxmx #Beetle #Beetles #GroundBeetles #CaveBeetles #Phylogeography https://t.co/7YZOvS3yjx",-0.9582200050354004,0.0,Carabidae
27,Short-Term Dispersal and Long-Term Spatial and Temporal Patterns of Carabidae (Coleoptera) in Lowbush Blueberry Fields https://t.co/PRkQ4BzA6A EnEnt @EntsocAmerica,-0.9850001335144043,0.0,Carabidae
28,"Calophaena acuminata, Carabidae #flickr https://t.co/rOQzLxjELl",-0.9884185791015625,0.0,Carabidae
29,New paper!!! #bioassay#entomologicalcommunications #coleoptera #carabidae #soja #milho #soybean #corn https://t.co/oMOHCxSAaF,-0.9882680773735046,0.26633522727272724,Carabidae
30,"#LiteratureNotice Saska et al. Preferences of carabid beetles (#Coleoptera: #Carabidae) for herbaceous #seeds https://t.co/CyqtKI2OQH 
#Beetle #Beetles #GroundBeetles #Ecology #SeedPredation #EcosystemServices https://t.co/T9DuwhYbf3",-0.9879063367843628,0.0,Carabidae
31,"#LiteratureNotice Erwin et al. After 157 years, a second specimen and species of the phylogenetically enigmatic and previously monobasic genus Nototylus Gemminger &amp; Harold, 1868 (#Coleoptera, #Carabidae, Nototylini) https://t.co/eCyYh5vJNt 
#Beetle #Beetles #GroundBeetles https://t.co/V2wVPaAnnu",-0.9902242422103882,-0.022222222222222216,Carabidae
32,Excellent. Interesting utility of #museumcollections for #ecological studies #Carabidae https://t.co/nMDIuu0vXL,0.9993520975112915,0.6333333333333333,Carabidae
33,@luke_wake @jenksshaw @coleopteriste See also https://t.co/VAeRPEklse - lots of great info and downloads,0.9958422183990479,0.8,Carabidae
34,"@quinncy It’s a beetle from the family Carabidae. And yes, you will now have the ability to produce defensive secretions.",0.9987604022026062,0.0,Carabidae
35,"#LiteratureNotice Zhu. Notes on the genus Trigonotoma from #China, with descriptions of two new species (#Carabidae, Pterostichinae) https://t.co/cwp1ea3kVB #Beetle #Beetles #GroundBeetles #NewSpecies #Coleoptera https://t.co/xoNX2Bl4i0",-0.9818952083587646,0.13636363636363635,Carabidae
36,@luke_wake @coleopteriste This is the standard one for the UK https://t.co/1ZvaBFt2IN,-0.9842764139175415,0.0,Carabidae
37,One of the best resources for #beetle identification! Great for those tricky Harpalinae at a glance 👍🏻 #Carabidae https://t.co/9BW7uPdn68,0.9993156790733337,0.9,Carabidae
38,"New CHECKLIST dataset: A new species of genus Nippononebria Uéno (Coleoptera, Carabidae, Nebriini) from Changbai Mountain, Jilin Province, China, the first species of the genus confirmed from the Asian mainland (1 species occurrences) https://t.co/rfRZQsuWJQ",-0.8067071437835693,0.18454545454545454,Carabidae
39,"New CHECKLIST dataset: The Carabus fauna of Israel – updated identification key, faunistics, and habitats (Coleoptera: Carabidae) https://t.co/tKvNRxTd96",-0.953605592250824,0.06818181818181818,Carabidae
40,"@Barbus59 @Buzz_dont_tweet Green Tiger Beetle,Cicindela campestris-Carabidae     https://t.co/yX5orGWVko",-0.9940953254699707,-0.2,Carabidae
41,"New CHECKLIST dataset: Rediscovery of Clivina morio Dejean with the description of Leucocara, a new subgenus of Clivina Latreille (Coleoptera, Carabidae, Clivinini) https://t.co/sE2fEOoDQy",-0.9117869138717651,0.13636363636363635,Carabidae
42,"New CHECKLIST dataset: Faunistic inventory and zoogeographical analysis of the ground beetles (Coleoptera, Carabidae) of Garf Raydah Nature Reserve, Southwestern of Saudi Arabia, and description of a new species of Paussinae https://t.co/9Xs3zYHESD",-0.9505072236061096,0.13636363636363635,Carabidae
43,"New CHECKLIST dataset: A preliminary characterization of Bembidion perspicuum LeConte, with a reclassification of related species (Coleoptera, Carabidae) north of México (5 species occurrences) https://t.co/5zbi7Jp66W",-0.9174966812133789,0.06818181818181818,Carabidae
44,"April 26, 2020, Lacombe  AB. Carabid/ground beetle found gardening; possibly Diplocheila obtusa. Although their body shapes and coloring vary, most carabids are shiny black or metallic and have ridged wing covers, which  may be fused in some species. #carabidae #beetles #nature https://t.co/vTOj0boY4i",-0.9750070571899414,0.11111111111111112,Carabidae
45,@AishaThani Oh?? Wow  — I thought this was mostly confined to bombardier beetles who eject chemicals! I suppose this might be a shared characteristic in carabidae beetles?,-0.997890293598175,0.21944444444444444,Carabidae
46,"@AishaThani Haha wow I like how this is truning “what color is the dress?” 🤣

Yea probably the lighting / flash of the cam .. I will scout tomorrow again on the grass and hope to find it.  But yes - I think you’re exhibiting true colors. Carabidae makes are amazing runners! This another sp. https://t.co/coeIAfdY6l",0.998763918876648,0.35000000000000003,Carabidae
47,"@AishaThani Ah yes, more robust shape than I imagined. That's definitely a carabid (ground beetle). I can only do European fauna, but if there's a book or website on common insects of your region, the Carabidae is the family to look in.",0.9990808367729187,0.04,Carabidae
48,@AishaThani Okay maybe not tiger beetle exactly lol — been calling all those carnivores beetles as tiger beetles 🤣 I need to correct my terminology 😂. But for sure it is from Carabidae family,-0.9870961904525757,0.6,Carabidae
49,@AishaThani I know it is a type of carabidae (tiger beetles) but have not looked up the species — been seeing them in the garden at night as well 😍 (I thought it was a cockroach at first from the way it tried to hide lol),-0.9953979253768921,0.525,Carabidae
50,"#LiteratureNotice Kataev &amp; Muilwijk. A remarkable new lebiine genus with two new species from #Pakistan, #Afghanistan and #Iran (#Coleoptera: #Carabidae: Lebiini) https://t.co/BTuLiSx4DY #Beetle #Beetles #GroundBeetles #NewSpecies https://t.co/HjvsA0h0xY",0.9807725548744202,0.3409090909090909,Carabidae
51,"These beetles are TOO DAMN COOL! Ant nest beetles (Carabidae: Paussinae) are the ultimate squatters. They live inside ant nests, and bend the colony to their will using chemical and vibrational signals. What the hell nature!? https://t.co/HyeQOHclqU @Bio_blake https://t.co/rEjrn5DwiR",-0.7049968838691711,0.20265151515151514,Carabidae
52,"New CHECKLIST dataset: Abacaecus n. gen. walterrossii n. sp., a notable hypogean carabid species from Sierra Leone, Western Africa (Coleoptera, Carabidae, Pterostichinae) (1 species occurrences) https://t.co/8v7q5kGv9r",-0.916425347328186,0.21212121212121213,Carabidae
53,New CHECKLIST dataset: A new anophthalmic trechine genus and two new species from southern Guizhou China (Coleoptera: Carabidae: Trechini) (2 species occurrences) https://t.co/eSYhmU5kLt,-0.9599605202674866,0.10227272727272727,Carabidae
54,The beautiful Blue Plunderer! I feel it would be greedy to ask for more; anyone else got any UK #carabidae suggestions for @hill_marian https://t.co/MLPpbHWp6l,-0.9915353655815125,0.45,Carabidae
55,"Christian Brod is a species of beetle in the family Carabidae, the only species in the genus Columbitrechus.",-0.6415588855743408,0.0,Carabidae
56,"@Danasawus Any ideas on this Carabid? Seen sunning itself today in my garden. I assume it's a Harpalus species? Carabidae isn't my strength, i'm more Bups and Cerams! Thank you. Specimen retained and will be set out. I've never seen one with so much purple on it before. https://t.co/vL08D7lgTZ",-0.9846049547195435,0.4125,Carabidae
57,"#LiteratureNotice Magrini &amp; Bulirsch. A new Reicheiina from the Indochina Peninsula belonging to the genus Laoreicheia Balkenohl, 2005 (#Coleoptera: #Carabidae: Scaritinae: Clivinini) https://t.co/f8n2MVqLpN #Beetle #Beetles #GroundBeetles #NewSpecies https://t.co/XSpbBHwbsy",-0.9865109920501709,0.13636363636363635,Carabidae
58,@mikeshewring @BuglifeCymru Looks like an Amara spp. (Carabidae). Not sure which one though!,-0.9993807673454285,-0.3125,Carabidae
59,#Beetle types of the Carabidae (ground beetle) family. Mormolyce hagenbactii (violin beetle) blends well with leaf litter. Aenigma cyanipennis is named for its blue-green colouring. Cerapterus hopei is an ant nest beetle + Carenum smaragdulum belongs to the Scaritine subfamily. https://t.co/5YdxZVtU5A,0.9909967184066772,0.0,Carabidae
60,"After 157 years, a second specimen and species of the phylogenetically enigmatic and previously monobasic genus Nototylus Gemminger &amp; Harold, 1868 (Coleoptera, Carabidae, Nototylini) | Zookeys
https://t.co/Ob2SPG8Jx6 https://t.co/mtPsYNiPv6",-0.9742640852928162,-0.022222222222222216,Carabidae
61,"A new anophthalmic trechine genus and two #newspecies from southern Guizhou, #China (#Coleoptera: #Carabidae: #Trechini).
https://t.co/2oDsDeP4Wa
#taxonomy",-0.9438344240188599,0.06818181818181818,Carabidae
62,#LiteratureNotice HovorkaThe two new species of Kaveinga from Indonesia (#Coleoptera: #Carabidae: Rhysodini) https://t.co/GhtmIz6DNj #Beetle #Beetles #GroundBeetles #NewSpecies https://t.co/ki57GDjxPU,-0.9865970015525818,0.13636363636363635,Carabidae
63,"It's a bug day!! I'm doing some work on my website https://t.co/sOHyCYxv7z so hopefully not too many bugs!

This is my #bronzesculpture of a #granulatedgroundbeetle, #Carabusgranulatus. Very oversized!

#Entomology #Entomologist #Coleoptera #Carabidae #sciart #natureart #insects https://t.co/Yo4HN2gPRE",-0.96913743019104,0.4375,Carabidae
64,"For 157 years, scientists have been scratching their heads: a South American subfamily of ground #beetles was missing a distinctive feature for #Carabidae. So far, they had one specimen. Now, they got another.

More on @Pensoft's blog https://t.co/ljlLOsaw0p #Taxonomy #Coleoptera",-0.9995653629302979,0.1,Carabidae
65,"#LiteratureNotice Fang et al. New cavernicolous #GroundBeetles from Anhui Province, #China (#Coleoptera, #Carabidae, Trechini, Platynini) https://t.co/r9D5x16Nn9 
#Beetle #Beetles #CaveBeetles #NewSpecies https://t.co/P1EIW8wZXq",-0.9885172247886658,0.13636363636363635,Carabidae
66,#EnqOfTheDay @The_RHS Ground beetles (Carabidae) mostly predatory beetles - many of the 350 species found in Britain can be found in gardens at around 2cm including the impressive violet ground beetle https://t.co/zC0L338hnB https://t.co/jTez44LJN7,0.899188220500946,0.6666666666666666,Carabidae
67,@kelly_jowett @Rothamsted @RresStudents I am working on a short-term study about the importance of herbaceous plants in gardens to help pollinating insects (and other good insects). One of the plants on my list is associated with Carabidae. :),-0.9056748747825623,0.35833333333333334,Carabidae
68,"Second specimen - and a #NewSpecies - in the rare South American genus of strange-combed #beetles (Nototylus) discovered 157 years later to answer a century-old debate.

🗞️🧐Find more: https://t.co/4bWhkzJj1F.
🔓 Study: https://t.co/Ea7ejmzHMV
#Coleoptera #Carabidae #Taxonomy https://t.co/8e2zpnSEse",-0.984022319316864,0.16,Carabidae
69,"New #Carabus from the Oriental Region described by our member Ivan Rapuzzi  
https://t.co/h8rohXdOqR
#Carabidae  #taxonomy #newsubspecies #entomology #beetles #Coleoptera https://t.co/NRqaNOvNw9",-0.977484941482544,0.13636363636363635,Carabidae
70,@olds_liam New house has a nice dry chalky bank so lots of ground nesting bee sp. and carabidae... I'll live in hope for something more sparkly!! 🐞,0.9947351813316345,0.31746212121212125,Carabidae
71,#carabus #Carabidae #insecta #entomology https://t.co/ZONqQgF79f,-0.9914647936820984,0.0,Carabidae
72,"New CHECKLIST dataset: After 157 years, a second specimen and species of the phylogenetically enigmatic and previously monobasic genus Nototylus Gemminger &amp; Harold, 1868 (Coleoptera, Carabidae, Nototylini) https://t.co/vmz439XNDA",-0.975212037563324,0.017424242424242425,Carabidae
73,"Meaning of #molops #DaniloEnriqueNorenaBenitez It means work, fatigue or combat.  It is the name of a genus of beetles in the family Carabidae.  All known species are found in Europe and the Near East...https://t.co/hvVMhzvOdl",-0.9930789470672607,0.1,Carabidae
74,"We cannot imagine the great amount of 🤠#fieldwork that was carried out to obtain 72 out of the 85 species of 🐞#beetles of the genera Trechus to acomplish this interesting @Mol_Ecol #paper paper on species groups and wing #evolution 😯! Congrats, @moestmar 
#phylogeny #carabidae https://t.co/8kaO9cU3Kq",0.987289309501648,0.7125,Carabidae
75,"New CHECKLIST dataset: Nebria (Pseudonebriola) tsambagarav sp. nov., a new alpine species from the Mongolian Altai (Coleoptera, Carabidae) https://t.co/Q1VKEowEx7",-0.8665660619735718,0.13636363636363635,Carabidae
76,"Mitochondrial, metagenomic, and phylogenetic analysis of the ground beetle Harpalus pensylvanicus (Coleoptera: Carabidae). https://t.co/xs1UGKoFFQ",-0.9116686582565308,0.0,Carabidae
77,"Mitochondrial, metagenomic, and phylogenetic analysis of the ground beetle Harpalus pensylvanicus (Coleoptera: Carabidae). https://t.co/erLQUxRuMS",-0.9536011815071106,0.0,Carabidae
78,"Woohoo! It's starting to work! In this crafted example, the collector ""Ball"" is reconciled to ""George E. Ball"" because we used the date and Family ""Carabidae"" as additional properties. Getting closer! https://t.co/1Mw8BssiNa https://t.co/uAUeB7EYDh",0.9930060505867004,0.0,Carabidae
79,@SassyCsays Not sure of the exact species but one of the Carabidae - Ground beetle family.,-0.9919766187667847,0.0,Carabidae
80,@thiswordistaken I don't believe you. You wouldn't have taken a picture of them if you didn't care. ❤️ #Carabidae,-0.9912901520729065,0.0,Carabidae
81,"According to my #LockDownDiary it is 28 days since I left the Museum. As a curator I certianly miss the best-in-the-world #museumcollections However, it is true to say I do not miss these particular beetles in these particular drawers #MuseumsUnlocked #carabidae https://t.co/yuyo9CKjft",0.896761953830719,0.1708333333333333,Carabidae
82,"New paper out!
Towards an evolutionary history of European-Alpine Trechus ground beetles: species groups and wing reduction
https://t.co/6LaCHsTf3D
@moestmar @uniinnsbruck #carabid #carabidae #beetles #characterevolution #phylogeny #dolloslaw https://t.co/14R6RCMR4A",-0.8778263926506042,0.17045454545454544,Carabidae
83,"This is a true Dream Car concept, its first performance was at the 1968 Paris Motor Show, its name is derived from the Carabidae Beetles, evoked by the green and orange colors❗❤️🍀 https://t.co/I8jbH3SWrK",0.9971781969070435,0.13333333333333333,Carabidae
84,"My first sight thought it's a species of genus Clivina (Carabidae: Scaritinae).

Yet, M. Geiser (Coleopterist, Curator at the @NHM_London ) clarified that it's either genus Itamus or Pseudozaena (Carabidae: Paussinae).

Seemed I forgot that Clivina has fossorial prothoracic legs. https://t.co/lprlIqwYRs",-0.9964942932128906,0.25,Carabidae
85,"@rory_more @electra_rhodes Absolutely no idea, but the carabidae family has some spectacular beetles in it....",0.9980654716491699,0.25,Carabidae
86,Beyond tiger beetles are the carabids. Why are they called ground beetles when I've almost never seen them on the ground? https://t.co/g2Bp2Nm4Hh https://t.co/oFiRFaHqYg,-0.9897717237472534,0.0,Carabidae
87,#carabidae you beauty https://t.co/itthtjVsZZ,0.9887313842773438,0.0,Carabidae
88,"New CHECKLIST dataset: Pelmatellus Amicorum Delgado And Ruiz-Tapiador (Coleoptera: Carabidae), A New Species From The Andean Altiplano Of Peru (43 species occurrences) https://t.co/C0aNhzBH1J",-0.9552536606788635,0.13636363636363635,Carabidae
89,"Until I found this Marsh Beetle (Elaphrus sp) in a creek bed yesterday, I didn't even know it existed. It's also amazing what we don't see with the naked eye. This 7mm beetle looked almost black and had it not moved, I likely would have missed it.
#beetles #carabidae #Elaphrus https://t.co/pvEBoYn3Gl",0.9577058553695679,0.10833333333333336,Carabidae
90,"New CHECKLIST dataset: A remarkable new lebiine genus with two new species from Pakistan, Afghanistan and Iran (Coleoptera: Carabidae: Lebiini) (6 species occurrences) https://t.co/RPgZ08SlmF",0.9994008541107178,0.2897727272727273,Carabidae
91,"A remarkable new lebiine genus with two #newspecies from #Pakistan, #Afghanistan and #Iran (#Coleoptera: #Carabidae: #Lebiini).
https://t.co/VosR0emJbx
#Taxonomy",0.9991182088851929,0.4431818181818182,Carabidae
92,"@neolycus @JGEntiminae @monotomidae @rosscwinton @dr_firefly @LackoB @ageofarthropods What the heck is a dutiscid???!?!?

Dytiscidae for all that can spell.",-0.9992531538009644,0.0,Dytiscidae
93,"oikossokio: RT SIL_limnology: Dytiscidae is a family of water diving beetles. In Mongolia, 4,193 dytiscid beetles were studied under various conditions. Find out how the environmental variables influenced the dytiscid beetle communities here: #Freshwater… https://t.co/NfWGeHro5a",-0.9431597590446472,0.0,Dytiscidae
94,"Dytiscidae is a family of water diving beetles. In Mongolia, 4,193 dytiscid beetles were studied under various conditions. Find out how the environmental variables influenced the dytiscid beetle communities here: #FreshwaterFriday
https://t.co/ZOBZ11BgdV",-0.9366752505302429,0.0,Dytiscidae
95,"Thanks @sofiaraye and others. Seems like diving beetle ( Dytiscidae) larvae is the consensus! Also, a reminder to myself not to google aquatic larvae pics before bed, they are wonderful &amp; the stuff of nightmares.  https://t.co/lPs1ITsSfM",0.9986069798469543,0.625,Dytiscidae
96,@sofiaraye Thanks! Was just honing in on Dytiscidae too thanks to a suggestion from @vsbuffalo https://t.co/ap1QdHkF2z,0.7630926966667175,0.225,Dytiscidae
97,"@Graham_Coop Looks like a beetle larva, my guess is Dytiscidae. Cool pond predators!",-0.9936110377311707,0.4375,Dytiscidae
98,"#LiteratureNotice Alarie &amp; Michat. Larval morphology of Agabinae (#Coleoptera: #Dytiscidae): descriptions of three species of the subgenus Agabus s. str. Leach, 1817 with phylogenetic considerations https://t.co/nJbO2SptKO #Beetle #Beetles #PredaceousDivingBeetles #Immatures https://t.co/SDxHMoeKcZ",-0.9891260266304016,0.0,Dytiscidae
99,"#Dytiscus mating in my trap!!! 😍Should I release them or take home? 🤔

#UrbanNature #Dytiscidae #AmazingBeetle https://t.co/3dH7spRDRc",-0.9417689442634583,0.0,Dytiscidae
100,"なんとオープンアクセスだったw ありがたや
Dytiscus latissimus and D. circumcinctus (Coleoptera, Dytiscidae) larvae as predators on three case-making caddis larvae
https://t.co/IdvY3wcPFj",-0.9814656376838684,0.0,Dytiscidae
101,"[New Publication]
Sayabane (New Series) No. 37 [In Japanese]
68 pages
Issued on Mar. 25th, 2020
Link:
https://t.co/jlLaRUQplT

New papers on Buprestidae, Coccinellidae, Dytiscidae, Elateridae, Hydrophilidae, Nitidulidae and Scarabaeoidea

Many other articles and a website review https://t.co/nNru2khDoz",-0.9050858616828918,0.13068181818181818,Dytiscidae
102,Environmental determinants of diving beetle assemblages (Coleoptera: Dytiscidae) in an urban landscape Biodiversity and Conservation https://t.co/JmjjZKwHPH https://t.co/4GD93WZlnK,-0.8166688680648804,0.0,Dytiscidae
103,"#LiteratureNotice Miller. Two new species of Agaporomorphus Guignot from Suriname (#Coleoptera, Adephaga, #Dytiscidae, Copelatinae) https://t.co/EdfJuadK8t #Beetle #Beetles #DivingBeetles #NewSpecies https://t.co/gYYH7iABo9",-0.9830256104469299,0.13636363636363635,Dytiscidae
104,@CreepyCrawly11 Turns out it is too. It’s one of these https://t.co/S9P7lnBWbJ,-0.9853038787841797,0.0,Dytiscidae
105,"We made an exciting discovery today, our new pond has some residents! Luckily mum is an ecologist and got to work identifying these Dytiscidae https://t.co/rIU6iXiVKg",0.9877545237541199,0.2679292929292929,Dytiscidae
106,"New CHECKLIST dataset: Limbodessus skalei sp. nov., a new diving beetle species from the west Papuan Archipelago (Coleoptera: Dytiscidae, Bidessini) (1 species occurrences) https://t.co/kln4ObHVa8",-0.9697117805480957,0.13636363636363635,Dytiscidae
107,"Dytiscidæ or lesser degree less any rate, profess to man, namely respiration.",-0.9951592087745667,-0.08333333333333333,Dytiscidae
108,"#LiteratureNotice Miller. Two #NewSpecies of Desmopachria Babington, 1841 in the D. convexa species group (#Coleoptera, Adephaga, #Dytiscidae, Hydroporinae, Hyphydrini) 
https://t.co/izbIw1RWAV 
#Beetle #Beetles #DivingBeetles https://t.co/Mfq9jd0sjF",-0.9876733422279358,0.0,Dytiscidae
109,"Bilton DT et al. 2016. Sexual dimorphism and sexual conflict in the diving beetle Agabus uliginosus (L.) (Coleoptera: Dytiscidae). Biological Journal of the Linnean Society, 2016, 119, 1089–1095.",-0.6210612058639526,0.5,Dytiscidae
110,"[メモ] ゲンゴロウのsexual conflict
Miller KB 2003. The phylogeny of diving beetles (Coleoptera: Dytiscidae) and the evolution of sexual conflict. 
Biological Journal of the Linnean Society, 2003, 79, 359–388.",0.6081990599632263,0.5,Dytiscidae
111,"Life in the pond in the time of covid-19. Mating #newts, #naiad damselflies (Zygoptera), #Dytiscidae (diving beetles), #Hydrophilidae (scavenger beetles), #Belostimatidae (giant water bugs), #Naucoridae (creeping… https://t.co/SJHprSREdK",-0.9797439575195312,0.0,Dytiscidae
112,"I'm so looking forward to doing fieldwork and seeing diving #beetles soon 🥰

#Cybister #Dytiscidae #dytiscid https://t.co/E0JGQGQaHh",-0.5637827515602112,0.0,Dytiscidae
113,"Limbodessus skalei sp. nov., a new diving beetle species from the west Papuan Archipelago (#Coleoptera: #Dytiscidae, #Bidessini).
https://t.co/Zd8Gg6BDPy
#Taxonomy",-0.9818001389503479,0.13636363636363635,Dytiscidae
114,"Update today：👇👇👇
The article ""Aquatic Beetles (Coleoptera: Dytiscidae, Haliplidae, Noteridae, Hydrophilidae) From Borujen and Lordegan (Chaharmahal and Bakhtiari Province, Iran)”has been published online, welcome everyone to read !👏🏻
DOI: https://t.co/PP0xT7hHK4 https://t.co/L8WGVibAbG",0.9914975166320801,1.0,Dytiscidae
115,"@BenardMF In Japan, I observed a Dytiscidae(Cybister chinensis) attacking a frog. Like this video, Cybister was the first to bite into the frog's anus. I think Dytiscidae is probably sensitive to the smell of frog feces underwater.",-0.9760774374008179,0.175,Dytiscidae
116,Every day is #InverteFest when you have a pet diving beetle! This handsome creature is in the family Dytiscidae and loves to eat ham. https://t.co/ZsHeBedowa,0.9199000597000122,0.5,Dytiscidae
117,Our urban diving #beetle (#Dytiscidae) paper is now online! Do you want to know how #aquatic insect diversity change along an #urban gradient? Are you curious about how predatory #fish affects #dytiscid species composition? Find out in our paper via link: https://t.co/MUFAJ900Ga https://t.co/qoV0sD8N3i,-0.9852890372276306,-0.03333333333333333,Dytiscidae
118,"A fringed diving beetle, Cybister fibriolatus, one of the predaceous diving beetles in family Dytiscidae. They often feed on tadpoles and other aquatic prey. @NatureMuseum https://t.co/fHdjNfpaNa",-0.9510058164596558,-0.125,Dytiscidae
119,"Went out for a hike and spotted Gyrinids in a creek so naturally I had to run home, don my collecting gear and get out into the water! 
#aquaticbeetles #gyrinidae https://t.co/1zzrkEkVfH",-0.9549163579940796,0.125,Gyrinidae
