,Unnamed: 0,Unnamed: 0.1,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,commonName,num_google_scholar_results,num_cited_by_in_first_20_results,num_common_name_google_search_results,num_scientific_name_google_search_results,absolute_frequency_of_scientific_name_in_books,num_books_containing_scientific_name,absolute_frequency_of_common_name_in_books,num_books_containing_common_name
31,31,31,520248,137123,Neosisyphus macrorubrus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Neosisyphus,macrorubrus,,,,"(Paschalidis, 1974)",Least Concern,,3.1,Unknown,Global,,2,7,,115,0,0,0,0
32,32,32,520414,137131,Canthon corpulentus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,corpulentus,,,,"Harold, 1868",Vulnerable,B2ab(iii),3.1,Unknown,Global,,7,17,,425,0,0,0,0
33,33,33,520484,137136,Onthophagus rufosignatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,rufosignatus,,,,"Macleay, 1864",Least Concern,,3.1,Unknown,Global,,0,0,,328,0,0,0,0
34,34,34,520498,137137,Thyregis relictus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Thyregis,relictus,,,,"Matthews, 1976",Data Deficient,,3.1,Unknown,Global,,2,36,,306,0,0,0,0
35,35,35,520526,137139,Dicranocara deschodti,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Dicranocara,deschodti,,,,"Frolov &amp; Scholtz, 2003",Least Concern,,3.1,Unknown,Global,,15,401,,229,0,0,0,0
36,36,36,520644,137149,Sulcophanaeus actaeon,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Sulcophanaeus,actaeon,,,,"(Erichson, 1847)",Data Deficient,,3.1,Unknown,Global,,5,48,,448,0,0,0,0
37,37,37,520658,137150,Anomiopus smaragdinus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Anomiopus,smaragdinus,,,,"(Westwood, 1842)",Least Concern,,3.1,Unknown,Global,,5,82,,285,0,0,0,0
38,38,38,520672,137151,Bdelyrus grandis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Bdelyrus,grandis,,,,"Cook, 1998",Data Deficient,,3.1,Unknown,Global,,7,202,,305,0,0,0,0
39,39,39,520708,137154,Scarabaeus galenus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Scarabaeus,galenus,,,,"Westwood, 1847",Least Concern,,3.1,Unknown,Global,,43,634,,831,0,0,0,0
40,40,40,520722,137155,Frankenbergerius opacus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Frankenbergerius,opacus,,,,"Frolov &amp; Scholtz, 2005",Data Deficient,,3.1,Unknown,Global,,1,14,,171,0,0,0,0
41,41,41,520778,137159,Onthophagus villanuevai,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,villanuevai,,,,"Delgado &amp; Deloya, 1990",Near Threatened,,3.1,Decreasing,Global,,7,74,,304,0,0,0,0
42,42,42,520792,137160,Canthon podagricus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,podagricus,,,,"Harold, 1868",Least Concern,,3.1,Unknown,Global,,28,195,,776,0,0,0,0
43,43,43,520806,137161,Eodrepanus fastiditus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Eodrepanus,fastiditus,,,,"(Péringuey, 1901)",Least Concern,,3.1,Unknown,Global,,7,36,,118,0,0,0,0
44,44,44,520834,137163,Dichotomius nimuendaju,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Dichotomius,nimuendaju,,,,"Luederwaldt, 1925",Least Concern,,3.1,Unknown,Global,,6,27,,273,0,0,0,0
45,45,45,520848,137164,Canthon indigaceus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,indigaceus,,,,"Harold, 1868",Least Concern,,3.1,Unknown,Global,,199,313,,3450,0,0,0,0
46,46,46,520862,137165,Cryptocanthon genieri,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Cryptocanthon,genieri,,,,"Cook, 2002",Near Threatened,,3.1,Unknown,Global,,5,46,,212,0,0,0,0
47,47,47,520876,137166,Frankenbergerius armatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Frankenbergerius,armatus,,,,"(Boheman, 1857)",Least Concern,,3.1,Unknown,Global,,5,162,,212,0,0,0,0
48,48,48,520965,137169,Coprophanaeus terrali,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Coprophanaeus,terrali,,,,"Arnaud, 2002",Data Deficient,,3.1,Unknown,Global,,5,19,,276,0,0,0,0
49,49,49,521007,137172,Dichotomius worontzowi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Dichotomius,worontzowi,,,,"(Pereira, 1942)",Least Concern,,3.1,Unknown,Global,,30,404,,711,0,0,0,0
50,50,50,521021,137173,Onthophagus lacustris,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,lacustris,,,,"Harold, 1877",Least Concern,,3.1,Unknown,Global,,12,771,,181,0,0,0,0
51,51,51,521057,137177,Onitis aeruginosus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onitis,aeruginosus,,,,"Klug, 1855",Data Deficient,,3.1,Unknown,Global,,10,45,,442,0,0,0,0
52,52,52,521071,137178,Phanaeus daphnis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Phanaeus,daphnis,,,,"Harold, 1863",Least Concern,,3.1,Stable,Global,,60,248,,1790,0,0,0,0
53,53,53,521135,137183,Cryptocanthon rayonensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Cryptocanthon,rayonensis,,,,"Cook, 2002",Data Deficient,,3.1,Unknown,Global,,2,38,,236,0,0,0,0
54,54,54,521163,137185,Demarziella storeyi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Demarziella,storeyi,,,,"Matthews, 1976",Data Deficient,,3.1,Unknown,Global,,2,13,,137,0,0,0,0
55,55,55,521177,137186,Onthophagus pugionatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,pugionatus,,,,"Fahraeus, 1857",Least Concern,,3.1,Unknown,Global,,18,376,,530,0,0,0,0
56,56,56,521191,137187,Canthidium viride,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthidium,viride,,,,"(Lucas, 1857)",Least Concern,,3.1,Unknown,Global,,10,14,,301,0,0,0,0
57,57,57,521233,137191,Copris inhalatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Copris,inhalatus,,,,"Quedenfeldt, 1884",Least Concern,,3.1,Unknown,Global,,23,961,,315,0,0,0,0
58,58,58,521275,137194,Onthophagus fuscivestis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,fuscivestis,,,,"D'Orbigny, 1902",Least Concern,,3.1,Unknown,Global,,0,0,,178,0,0,0,0
59,59,59,521289,137195,Canthon simulans,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,simulans,,,,"(Martinez, 1950)",Data Deficient,,3.1,Unknown,Global,,8,52,,343,0,0,0,0
60,60,60,521331,137198,Heliocopris japetus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Heliocopris,japetus,,,,"Klug, 1855",Least Concern,,3.1,Unknown,Global,,58,730,,1360,0,0,0,0
61,61,61,521373,137201,Onthophagus cavia,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,cavia,,,,"Boucomont, 1914",Data Deficient,,3.1,Unknown,Global,,4,5,,231,0,0,0,0
62,62,62,521387,137202,Onitis mniszechi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onitis,mniszechi,,,,"Lansberge, 1875",Data Deficient,,3.1,Unknown,Global,,0,0,,232,0,0,0,0
63,63,63,521415,137205,Canthon coloratus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,coloratus,,,,"Schmidt, 1922",Data Deficient,,3.1,Unknown,Global,,2,41,,338,0,0,0,0
64,64,64,521465,137209,Sauvagesinella palustris,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Sauvagesinella,palustris,,,,"Matthews, 1974",Least Concern,,3.1,Unknown,Global,,2,157,,165,0,0,0,0
65,65,65,521569,137213,Demarziella eungella,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Demarziella,eungella,,,,"Matthews, 1976",Data Deficient,,3.1,Unknown,Global,,3,15,,250,0,0,0,0
66,66,66,521583,137214,Bdelyrus paraensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Bdelyrus,paraensis,,,,"Cook, 1998",Data Deficient,,3.1,Unknown,Global,,1,31,,191,0,0,0,0
67,67,67,521625,137217,Mimonthophagus limbibasis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Mimonthophagus,limbibasis,,,,"(d'Orbigny, 1905)",Near Threatened,,3.1,Unknown,Global,,1,0,,110,0,0,0,0
68,68,68,521689,137222,Canthidium erythropterum,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthidium,erythropterum,,,,"(Lucas, 1857)",Data Deficient,,3.1,Unknown,Global,,0,0,,276,0,0,0,0
69,69,69,521753,137227,Ontherus grandis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Ontherus,grandis,,,,"Luederwaldt, 1931",Near Threatened,,3.1,Unknown,Global,,3,60,,200,0,0,0,0
70,70,70,521956,137236,Dichotomius dahli,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Dichotomius,dahli,,,,"(Landin, 1956)",Data Deficient,,3.1,Unknown,Global,,0,0,,211,0,0,0,0
71,71,71,522020,137241,Canthidium angulicolle,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthidium,angulicolle,,,,"Balthasar, 1939",Data Deficient,,3.1,Unknown,Global,,7,36,,346,0,0,0,0
72,72,72,522034,137242,Temnoplectron cooki,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Temnoplectron,cooki,,,,"Reid &amp; Storey, 2000",Least Concern,,3.1,Unknown,Global,,6,88,,144,0,0,0,0
73,73,73,522104,137247,Scarabaeus laevistriatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Scarabaeus,laevistriatus,,,,"Fairmaire, 1893",Least Concern,,3.1,Unknown,Global,,77,878,,709,0,0,0,0
74,74,74,522118,137248,Scarabaeus damarensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Scarabaeus,damarensis,,,,"Janssens, 1940",Least Concern,,3.1,Unknown,Global,,7,206,,246,0,0,0,0
75,75,75,522132,137249,Onthophagus bubalus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,bubalus,,,,"Harold, 1867",Least Concern,,3.1,Unknown,Global,,4,85,,303,0,0,0,0
76,76,76,522146,137250,Sisyphus fasciculatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Sisyphus,fasciculatus,,,,"Boheman, 1857",Least Concern,,3.1,Unknown,Global,,13,193,,692,0,0,0,0
77,77,77,522174,137252,Anomiopus howdeni,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Anomiopus,howdeni,,,,"Canhedo, 2006",Data Deficient,,3.1,Unknown,Global,,2,30,,230,0,0,0,0
78,78,78,522188,137253,Onthophagus surdus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,surdus,,,,"Boucomont, 1925",Data Deficient,,3.1,Unknown,Global,,1,3,,180,0,0,0,0
79,79,79,522243,137255,Gyronotus mulanjensis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Gyronotus,mulanjensis,,,,"Davis &amp; Scholtz &amp; Harrison, 1999",Near Threatened,,3.1,Unknown,Global,,1,10,,128,0,0,0,0
80,80,80,522397,137266,Onthophagus subocelliger,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,subocelliger,,,,"Blackburn, 1903",Least Concern,,3.1,Unknown,Global,,1,0,,129,0,0,0,0
81,81,81,522411,137267,Temnoplectron rotundum,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Temnoplectron,rotundum,,,,"Westwood, 1841",Least Concern,,3.1,Unknown,Global,,4,60,,256,0,0,0,0
82,82,82,522475,137272,Onthophagus alquirta,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,alquirta,,,,"Matthews, 1972",Data Deficient,,3.1,Unknown,Global,,0,0,,212,0,0,0,0
83,83,83,522489,137273,Scarabaeus nigroaeneus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Scarabaeus,nigroaeneus,,,,"Boheman, 1857",Least Concern,,3.1,Unknown,Global,,8,417,,829,0,0,0,0
84,84,84,522503,137274,Canthon luctuosus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthon,luctuosus,,,,"Harold, 1868",Least Concern,,3.1,Unknown,Global,,26,317,,357,0,0,0,0
85,85,85,522581,137280,Onthophagus cyaneoniger,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,cyaneoniger,,,,"D'Orbigny, 1902",Least Concern,,3.1,Unknown,Global,,4,68,,209,0,0,0,0
86,86,86,522595,137281,Pedaria ovata,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Pedaria,ovata,,,,"Boucomont, 1922",Data Deficient,,3.1,Unknown,Global,,1,3,,150,0,0,0,0
87,87,87,522738,137286,Caccobius ferrugineus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Caccobius,ferrugineus,,,,"(Fåhraeus, 1857)",Least Concern,,3.1,Unknown,Global,,9,115,,278,0,0,0,0
88,88,88,522816,137293,Deltorrhinum batesi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Deltorrhinum,batesi,,,,"Harold, 1867",Data Deficient,,3.1,Unknown,Global,,2,16,,112,0,0,0,0
89,89,89,522830,137294,Canthidium bokermanni,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Canthidium,bokermanni,,,,"(Martinez, Halffter &amp; Pereira, 1964)",Least Concern,,3.1,Unknown,Global,,3,94,,345,0,0,0,0
90,90,90,522844,137295,Onthophagus vilis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,vilis,,,,"Harold, 1877",Data Deficient,,3.1,Unknown,Global,,3,65,,216,0,0,0,0
91,91,91,522858,137296,Epirinus sulcipennis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Epirinus,sulcipennis,,,,"Boheman, 1857",Data Deficient,,3.1,Unknown,Global,,4,227,,165,0,0,0,0
92,92,92,522872,137297,Onthophagus parallelicornis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,parallelicornis,,,,"Macleay, 1887",Least Concern,,3.1,Unknown,Global,,1,76,,715,0,0,0,0
93,93,93,522928,137301,Onthophagus azusae,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,azusae,,,,"Ochi &amp; Kon, 2006",Data Deficient,,3.1,Unknown,Global,,0,0,,152,0,0,0,0
94,94,94,522942,137302,Dichotomius glaucus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Dichotomius,glaucus,,,,"(Harold, 1869)",Least Concern,,3.1,Unknown,Global,,25,138,,430,0,0,0,0
95,95,95,522956,137303,Phanaeus bispinus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Phanaeus,bispinus,,,,"Bates, 1868",Least Concern,,3.1,Unknown,Global,,40,488,,2010,0,0,0,0
96,96,96,523026,137309,Onthophagus muticus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,muticus,,,,"Macleay, 1864",Least Concern,,3.1,Unknown,Global,,13,406,,1780,0,0,0,0
97,97,97,523096,137314,Onthophagus diversiformis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,diversiformis,,,,"Boucomont, 1914",Data Deficient,,3.1,Unknown,Global,,0,0,,203,0,0,0,0
98,98,98,523110,137315,Onthophagus eschscholtzi,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,eschscholtzi,,,,"Boucomont, 1924",Data Deficient,,3.1,Unknown,Global,,0,0,,209,0,0,0,0
99,99,99,523144,137318,Gymnopleurus andreaei,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Gymnopleurus,andreaei,,,,"Ferreira, 1954",Least Concern,,3.1,Unknown,Global,,3,79,,162,0,0,0,0
100,100,100,523186,137321,Pachysoma aesculapius,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Pachysoma,aesculapius,,,,"(Olivier, 1789)",Vulnerable,"B1ab(ii,iii)+2ab(ii,iii)",3.1,Unknown,Global,,9,176,,302,0,0,0,0
101,101,101,523200,137322,Onthophagus granulatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Onthophagus,granulatus,,,,"Boheman, 1858",Least Concern,,3.1,Unknown,Global,,95,443,,1700,0,0,0,0
102,102,102,523214,137323,Copris amabilis,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,SCARABAEIDAE,Copris,amabilis,,,,"Kolbe, 1914",Data Deficient,,3.1,Unknown,Global,,3,110,,291,0,0,0,0
